dialogue_id,movie_title,movie_id,character_name,house,species,dialogue,dialogue_length
105,Harry Potter and the Philosopher's Stone,1,Petunia Dursley,Unknown,Human,"Of course we knew. How could you not be? My perfect sister being who she was. Oh, my mother and father were so proud the day she got her letter. We have a witch in the family. Isn't it wonderful? I was the only one to see her for what she was. A freak! And then she met that Potter, and then she had you, and I knew you'd be just the same, just as strange, just as ... abnormal. And then, if you please, she went and got herself blown up. And we got landed with you.",466
106,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,Blown up? You told me my parents died in a car crash!,53
107,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,A car crash? A car crash kill James and Lily Potter?,52
108,Harry Potter and the Philosopher's Stone,1,Petunia Dursley,Unknown,Human,We had to tell him something.,29
109,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,It's an outrage! It's a scandal!,32
110,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,He'll not be going!,19
111,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Oh, and I suppose a great Muggle like yourself's going to stop him, are you?",76
112,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,Muggle?,7
113,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Non magic folk.  This boy's had his name down ever since he was born!  He's going to the finest school of witchcraft and wizardry in the world, and he'll be under the finest headmaster that Hogwarts has ever seen: Albus Dumbledore.",231
114,Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,Human,I will not pay for some crackpot old fool to teach him magic tricks!,68
115,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Never, insult Albus Dumbledore, in front of me.",47
116,Harry Potter and the Philosopher's Stone,1,Dudley Dursley,Unknown,Human,Ahh!,4
117,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Oh, um, I'd appreciate if you didn't tell anyone at Hogwarts about that. Strictly speaking, I'm not allowed to do magic.",120
118,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,Okay.,5
119,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Ooh, we're a bit behind schedule. Best be off.  Unless you'd rather stay, of course. Hmm?",89
120,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"First year students will require: three sets of work robes, one wand.",69
121,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Essential bit of equipment, Harry.",34
122,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"One pair of dragon-hide gloves.  Hagrid, do they mean for a real dragon?",72
123,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Well, they don't mean for a penguin, do they? Heh. Crikey, but not a dragon.",76
124,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,But you like a dragon?,22
125,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Fast and misunderstood beasts, Harry. Fast and misunderstood.",61
126,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"All students must be equipped with...one standard size two pewter cauldron and may bring if they desire either an owl, a cat or a toad. Could we find all this in London?",169
127,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,If you know where to go.,24
128,Harry Potter and the Philosopher's Stone,1,Tom,Unknown,Human,"Ah, Hagrid! The usual, I presume?",33
129,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"No thanks, Tom. I'm on official Hogwarts business today. Just helping young Harry here buy his school supplies.",111
130,Harry Potter and the Philosopher's Stone,1,Tom,Unknown,Human,Bless my soul. It's Harry Potter.,33
131,Harry Potter and the Philosopher's Stone,1,Man,Unknown,Human,"Welcome back, Mr. Potter, welcome back.",39
132,Harry Potter and the Philosopher's Stone,1,Goblin,Unknown,Human,"Doris Crockford, Mr. Potter. I can't believe I'm meeting you at last.",69
133,Harry Potter and the Philosopher's Stone,1,Quirinus Quirrell,Ravenclaw,Human,Harry P-potter. C-can't tell you how pleased I am to meet you.,62
134,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Hello, Professor. I didn't see you there. Harry, this is Professor Quirrell. He'll be your Defense Against the Dark Arts teacher at Hogwarts.",141
135,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"Oh, nice to meet you.",21
136,Harry Potter and the Philosopher's Stone,1,Quirinus Quirrell,Ravenclaw,Human,"F-fearfully fascinating subject. N-not that you need it, e-eh, Potter? Heheh.",77
137,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Yes, well, must be going now. Lots to buy. Heh.",47
138,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,Goodbye.,8
139,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"See, Harry, you're famous!",26
140,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"But why am I famous, Hagrid? All those people back there, how is it they know who I am?",87
